User name,AWS access key,Event time,Event source,Event name,AWS region,Source IP address,User agent,Error code,Resources,Request ID,Event ID,Read-only,Event type,Recipient Account Id,Event category
CloudTrail,ASIAYMCY2BPR6JEM3JVP,2020-12-24T19:51:02Z,s3.amazonaws.com,PutBucketPublicAccessBlock,us-east-2,96.45.200.170,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.914 Linux/4.9.230-0.1.ac.223.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.275-b01 java/1.8.0_275 vendor/Oracle_Corporation]",AccessDenied,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-575711874019-1b6728c2""}]",7M9X3X5KBY9N5X1T,23d18569-1955-45f1-94c0-784dac1351d6,false,AwsApiCall,575711874019,Management
CloudTrail,ASIAYMCY2BPR6JEM3JVP,2020-12-24T19:51:02Z,s3.amazonaws.com,PutBucketPolicy,us-east-2,96.45.200.170,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.914 Linux/4.9.230-0.1.ac.223.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.275-b01 java/1.8.0_275 vendor/Oracle_Corporation]",,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-575711874019-1b6728c2""}]",474AE9873C821765,86c5a4ac-d65f-44f7-bd82-d23d785ba8ab,false,AwsApiCall,575711874019,Management
CloudTrail,ASIAYMCY2BPR6JEM3JVP,2020-12-24T19:51:01Z,s3.amazonaws.com,CreateBucket,us-east-2,96.45.200.170,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.914 Linux/4.9.230-0.1.ac.223.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.275-b01 java/1.8.0_275 vendor/Oracle_Corporation]",,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-575711874019-1b6728c2""}]",583747D849EF2935,83e1e946-cc83-4877-9dd7-7327c1d3b973,false,AwsApiCall,575711874019,Management
CloudTrail,ASIAYMCY2BPRU67PUJE2,2020-12-24T19:44:49Z,s3.amazonaws.com,PutBucketPolicy,us-east-2,96.45.200.170,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.914 Linux/4.9.230-0.1.ac.223.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.275-b01 java/1.8.0_275 vendor/Oracle_Corporation]",AccessDenied,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""udacity-cloudtrail-sadra""}]",10574B9D422DBC8B,d08c0717-cb54-442c-9e43-ab65d68d79ae,false,AwsApiCall,575711874019,Management
CloudTrail,ASIAYMCY2BPRU67PUJE2,2020-12-24T19:44:31Z,s3.amazonaws.com,PutBucketPolicy,us-east-2,96.45.200.170,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.914 Linux/4.9.230-0.1.ac.223.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.275-b01 java/1.8.0_275 vendor/Oracle_Corporation]",AccessDenied,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""udacity-cloudtrail-sadra""}]",478B38A408D256D7,735be8c0-43d5-47a5-a1dc-7421d09ecded,false,AwsApiCall,575711874019,Management
sonicAdmin,ASIAYMCY2BPR7QOES3IW,2020-12-24T19:41:05Z,s3.amazonaws.com,PutBucketPublicAccessBlock,us-east-2,96.45.200.170,"[S3Console/0.4, aws-internal/3 aws-sdk-java/1.11.915 Linux/4.9.217-0.3.ac.206.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.275-b01 java/1.8.0_275 vendor/Oracle_Corporation]",,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""udacity-cloudtrail-sadra""}]",FFC0AA6F4B4011E6,4d0c113d-ea3f-4d27-8008-e1c67a91862e,false,AwsApiCall,575711874019,Management
sonicAdmin,ASIAYMCY2BPR7QOES3IW,2020-12-24T19:39:20Z,s3.amazonaws.com,PutBucketPublicAccessBlock,us-east-2,96.45.200.170,"[S3Console/0.4, aws-internal/3 aws-sdk-java/1.11.915 Linux/4.9.230-0.1.ac.223.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.275-b01 java/1.8.0_275 vendor/Oracle_Corporation]",,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""udacity-cloudtrail-sadra""}]",207C9A9FF3B4002A,ae77cb2c-23a7-4b1a-a3ad-e07c53eb38e3,false,AwsApiCall,575711874019,Management
sonicAdmin,ASIAYMCY2BPR7QOES3IW,2020-12-24T19:39:19Z,s3.amazonaws.com,CreateBucket,us-east-2,96.45.200.170,"[S3Console/0.4, aws-internal/3 aws-sdk-java/1.11.915 Linux/4.9.217-0.3.ac.206.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.275-b01 java/1.8.0_275 vendor/Oracle_Corporation]",,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""udacity-cloudtrail-sadra""}]",BP0H3GCXCV3YDVDR,21bb76f1-fd1a-4a05-a43b-2b0302dcc687,false,AwsApiCall,575711874019,Management
CloudTrail,ASIAYMCY2BPRU67PUJE2,2020-12-24T19:37:28Z,s3.amazonaws.com,PutBucketPublicAccessBlock,us-east-2,96.45.200.170,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.914 Linux/4.9.230-0.1.ac.223.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.275-b01 java/1.8.0_275 vendor/Oracle_Corporation]",AccessDenied,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-575711874019-5641c8da""}]",54E6ECFE25B88DF9,5019eb1e-92c3-4d62-b520-87bd69737f96,false,AwsApiCall,575711874019,Management
CloudTrail,ASIAYMCY2BPRU67PUJE2,2020-12-24T19:37:28Z,s3.amazonaws.com,PutBucketPolicy,us-east-2,96.45.200.170,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.914 Linux/4.9.230-0.1.ac.223.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.275-b01 java/1.8.0_275 vendor/Oracle_Corporation]",,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-575711874019-5641c8da""}]",3242DA9FB1BA88F3,765c64b9-12e0-4792-af67-8ebae7f86eab,false,AwsApiCall,575711874019,Management
